Entity,Code,Year,Gas per capita (kWh)
Algeria,DZA,1998,6646.669921875
Algeria,DZA,1999,6697.77734375
Algeria,DZA,2000,6153.3232421875
Algeria,DZA,2001,6273.85107421875
Algeria,DZA,2002,6116.40869140625
Algeria,DZA,2003,6382.67626953125
Algeria,DZA,2004,6481.65234375
Algeria,DZA,2005,6743.9443359375
Algeria,DZA,2006,6792.23095703125
Algeria,DZA,2007,6843.06396484375
Algeria,DZA,2008,7026.70947265625
Algeria,DZA,2009,7418.3076171875
Algeria,DZA,2010,7039.75
Algeria,DZA,2011,7309.3046875
Algeria,DZA,2012,7991.16064453125
Algeria,DZA,2013,8421.970703125
Algeria,DZA,2014,9272.45703125
Algeria,DZA,2015,9545.5302734375
Algeria,DZA,2016,9517.8583984375
Algeria,DZA,2017,9534.498046875
Algeria,DZA,2018,10279.51171875
Algeria,DZA,2019,10464.9072265625
Algeria,DZA,2020,9943.0361328125
Algeria,DZA,2021,10268.59375
Argentina,ARG,1965,1860.77001953125
Argentina,ARG,1966,1985.2908935546875
Argentina,ARG,1967,2045.6309814453125
Argentina,ARG,1968,2244.430908203125
Argentina,ARG,1969,2202.820068359375
Argentina,ARG,1970,2451.55419921875
Argentina,ARG,1971,2605.2724609375
Argentina,ARG,1972,2876.888427734375
Argentina,ARG,1973,3221.03466796875
Argentina,ARG,1974,3354.93603515625
Argentina,ARG,1975,3383.81494140625
Argentina,ARG,1976,3750.825927734375
Argentina,ARG,1977,3859.15625
Argentina,ARG,1978,3697.945068359375
Argentina,ARG,1979,3745.416015625
Argentina,ARG,1980,4019.46923828125
Argentina,ARG,1981,4135.22900390625
Argentina,ARG,1982,4623.626953125
Argentina,ARG,1983,4892.0703125
Argentina,ARG,1984,5124.6005859375
Argentina,ARG,1985,5152.759765625
Argentina,ARG,1986,5480.396484375
Argentina,ARG,1987,5398.20166015625
Argentina,ARG,1988,6209.22265625
Argentina,ARG,1989,6425.224609375
Argentina,ARG,1990,6049.30810546875
Argentina,ARG,1991,6073.89794921875
Argentina,ARG,1992,6479.59716796875
Argentina,ARG,1993,6753.37255859375
Argentina,ARG,1994,6855.02783203125
Argentina,ARG,1995,7536.3642578125
Argentina,ARG,1996,8545.083984375
Argentina,ARG,1997,7783.83154296875
Argentina,ARG,1998,8227.4365234375
Argentina,ARG,1999,8629.6953125
Argentina,ARG,2000,8759.431640625
Argentina,ARG,2001,8111.201171875
Argentina,ARG,2002,7812.15771484375
Argentina,ARG,2003,8829.333984375
Argentina,ARG,2004,9562.806640625
Argentina,ARG,2005,10101.837890625
Argentina,ARG,2006,10346.3037109375
Argentina,ARG,2007,10762.9951171875
Argentina,ARG,2008,10775.5869140625
Argentina,ARG,2009,10334.16015625
Argentina,ARG,2010,10291.390625
Argentina,ARG,2011,10609.6953125
Argentina,ARG,2012,10936.17578125
Argentina,ARG,2013,10908.0595703125
Argentina,ARG,2014,10824.970703125
Argentina,ARG,2015,10830.439453125
Argentina,ARG,2016,11080.60546875
Argentina,ARG,2017,10992.9833984375
Argentina,ARG,2018,10978.556640625
Argentina,ARG,2019,10397.099609375
Argentina,ARG,2020,9720.2099609375
Argentina,ARG,2021,10072.212890625
Asia,,1965,49.659576416015625
Asia,,1966,55.94101333618164
Asia,,1967,63.47609329223633
Asia,,1968,72.9148178100586
Asia,,1969,87.78553009033203
Asia,,1970,101.93889617919922
Asia,,1971,113.50830078125
Asia,,1972,123.24722290039062
Asia,,1973,147.2359161376953
Asia,,1974,170.45541381835938
Asia,,1975,191.2744140625
Asia,,1976,208.62094116210938
Asia,,1977,247.99386596679688
Asia,,1978,287.9352111816406
Asia,,1979,344.2163391113281
Asia,,1980,351.9457092285156
Asia,,1981,354.4820251464844
Asia,,1982,371.3757629394531
Asia,,1983,391.9859619140625
Asia,,1984,472.6146240234375
Asia,,1985,738.8441772460938
Asia,,1986,814.4924926757812
Asia,,1987,850.2617797851562
Asia,,1988,894.5708618164062
Asia,,1989,951.5706176757812
Asia,,1990,971.1787109375
Asia,,1991,1010.389404296875
Asia,,1992,1057.7423095703125
Asia,,1993,1036.6727294921875
Asia,,1994,1103.4332275390625
Asia,,1995,1155.123291015625
Asia,,1996,1218.39404296875
Asia,,1997,1263.0667724609375
Asia,,1998,1300.9090576171875
Asia,,1999,1385.5140380859375
Asia,,2000,1442.4522705078125
Asia,,2001,1516.1875
Asia,,2002,1583.720703125
Asia,,2003,1674.791015625
Asia,,2004,1778.1414794921875
Asia,,2005,1891.246337890625
Asia,,2006,1982.6702880859375
Asia,,2007,2114.3134765625
Asia,,2008,2234.9296875
Asia,,2009,2272.704345703125
Asia,,2010,2470.884765625
Asia,,2011,2623.3974609375
Asia,,2012,2730.363037109375
Asia,,2013,2772.64892578125
Asia,,2014,2856.30712890625
Asia,,2015,2929.35595703125
Asia,,2016,2980.0224609375
Asia,,2017,3093.567626953125
Asia,,2018,3229.21142578125
Asia,,2019,3280.80908203125
Asia,,2020,3300.14697265625
Asia,,2021,3473.2685546875
Australia,AUS,1965,2.6053667068481445
Australia,AUS,1966,3.389859437942505
Australia,AUS,1967,3.3026199340820312
Australia,AUS,1968,24.933069229125977
Australia,AUS,1969,329.6207580566406
Australia,AUS,1970,1352.6094970703125
Australia,AUS,1971,1981.6175537109375
Australia,AUS,1972,2799.29052734375
Australia,AUS,1973,3504.283447265625
Australia,AUS,1974,3947.057861328125
Australia,AUS,1975,4187.08740234375
Australia,AUS,1976,4885.08740234375
Australia,AUS,1977,5518.41015625
Australia,AUS,1978,5875.7109375
Australia,AUS,1979,6686.68310546875
Australia,AUS,1980,7585.8818359375
Australia,AUS,1981,8116.83251953125
Australia,AUS,1982,7809.5498046875
Australia,AUS,1983,8363.1318359375
Australia,AUS,1984,8125.26708984375
Australia,AUS,1985,8551.8017578125
Australia,AUS,1986,9192.935546875
Australia,AUS,1987,9231.4853515625
Australia,AUS,1988,9299.2333984375
Australia,AUS,1989,9984.189453125
Australia,AUS,1990,9891.12890625
Australia,AUS,1991,9355.9150390625
Australia,AUS,1992,9560.271484375
Australia,AUS,1993,9798.9765625
Australia,AUS,1994,10763.0576171875
Australia,AUS,1995,10749.4482421875
Australia,AUS,1996,10711.072265625
Australia,AUS,1997,10404.2470703125
Australia,AUS,1998,10596.271484375
Australia,AUS,1999,10737.625
Australia,AUS,2000,10823.341796875
Australia,AUS,2001,11549.72265625
Australia,AUS,2002,11759.38671875
Australia,AUS,2003,11717.3349609375
Australia,AUS,2004,11797.791015625
Australia,AUS,2005,11526.591796875
Australia,AUS,2006,12638.9365234375
Australia,AUS,2007,13874.2314453125
Australia,AUS,2008,13376.4140625
Australia,AUS,2009,13395.537109375
Australia,AUS,2010,14311.3837890625
Australia,AUS,2011,14550.4169921875
Australia,AUS,2012,14390.98828125
Australia,AUS,2013,14910.36328125
Australia,AUS,2014,15773.9716796875
Australia,AUS,2015,16210.5078125
Australia,AUS,2016,15608.681640625
Australia,AUS,2017,15096.5849609375
Australia,AUS,2018,14767.408203125
Australia,AUS,2019,17427.26953125
Australia,AUS,2020,16900.3203125
Australia,AUS,2021,15281.1328125
Austria,AUT,1965,2399.490234375
Austria,AUT,1966,2559.905029296875
Austria,AUT,1967,2437.646728515625
Austria,AUT,1968,2584.6845703125
Austria,AUT,1969,3119.146484375
Austria,AUT,1970,3764.915771484375
Austria,AUT,1971,4305.32275390625
Austria,AUT,1972,4633.84716796875
Austria,AUT,1973,5075.701171875
Austria,AUT,1974,5487.85400390625
Austria,AUT,1975,5473.0732421875
Austria,AUT,1976,6231.07421875
Austria,AUT,1977,6353.67919921875
Austria,AUT,1978,6616.38818359375
Austria,AUT,1979,6568.80224609375
Austria,AUT,1980,6317.41845703125
Austria,AUT,1981,6025.90869140625
Austria,AUT,1982,5834.54736328125
Austria,AUT,1983,5952.44775390625
Austria,AUT,1984,6623.8896484375
Austria,AUT,1985,7090.28173828125
Austria,AUT,1986,6874.56396484375
Austria,AUT,1987,7158.4326171875
Austria,AUT,1988,6839.7978515625
Austria,AUT,1989,7319.2412109375
Austria,AUT,1990,8018.548828125
Austria,AUT,1991,8448.0556640625
Austria,AUT,1992,8234.2919921875
Austria,AUT,1993,8592.458984375
Austria,AUT,1994,8776.8466796875
Austria,AUT,1995,9531.4248046875
Austria,AUT,1996,10110.048828125
Austria,AUT,1997,9725.75
Austria,AUT,1998,9974.72265625
Austria,AUT,1999,10175.9345703125
Austria,AUT,2000,9691.7177734375
Austria,AUT,2001,10235.1787109375
Austria,AUT,2002,10017.375
Austria,AUT,2003,10962.7333984375
Austria,AUT,2004,11013.0751953125
Austria,AUT,2005,11543.619140625
Austria,AUT,2006,10806.0693359375
Austria,AUT,2007,10189.0419921875
Austria,AUT,2008,10871.578125
Austria,AUT,2009,10548.5185546875
Austria,AUT,2010,11430.291015625
Austria,AUT,2011,10695.931640625
Austria,AUT,2012,10143.38671875
Austria,AUT,2013,9584.2421875
Austria,AUT,2014,8718.2783203125
Austria,AUT,2015,9181.2421875
Austria,AUT,2016,9536.8671875
Austria,AUT,2017,10283.3955078125
Austria,AUT,2018,9770.0419921875
Austria,AUT,2019,9938.9541015625
Austria,AUT,2020,9468.287109375
Austria,AUT,2021,9967.7080078125
Azerbaijan,AZE,1985,19922.720703125
Azerbaijan,AZE,1986,21769.6875
Azerbaijan,AZE,1987,21142.787109375
Azerbaijan,AZE,1988,20531.49609375
Azerbaijan,AZE,1989,21217.693359375
Azerbaijan,AZE,1990,21292.806640625
Azerbaijan,AZE,1991,20055.69140625
Azerbaijan,AZE,1992,15359.9052734375
Azerbaijan,AZE,1993,11173.701171875
Azerbaijan,AZE,1994,10313.7568359375
